Question,Answer,QuestionArr
return the CTA which usually phrases like 'to call or text the contact number for a consultation'.,Call or text the contact number for a consultation.,paragraph
"
        "" Find 3 advantages that sets this firm apart. organize the objects in this way {
            ""title"": 3-4 word title of the advantage,
            ""content"": 2 sentences talking about the advantage.
            }
            
           Here is an example of an output. Focus on the format, not the content: {
    ""title"": ""Elite Legal Background"",
    ""content"": ""The lead attorneys at Clayton Trial Lawyers come from 'Big Law' representing corporations, insurance companies, and high net worth individuals. This elite legal background sets them apart from other personal injury law firms or litigation boutiques.""
  },
  {
    ""title"": ""High Value & Expertise"",
    ""content"": ""Clayton Trial Lawyers deliver high value and expertise, personalized to each client's needs. Their experience and determination have earned their clients over $150 million in jury verdicts.""
  },
  {
    ""title"": ""Listed as 'Best Lawyers, Best Law Firms'"",
    ""content"": ""Clayton Trial Lawyers was listed as 'Best Lawyers, Best Law Firms' and No. 1 in the region, according to U.S. News & World Report. This recognition showcases their commitment to excellence and success in the legal field.""
  }""
           
        
        ","```json
{
  ""title"": ""Client Oriented Approach"",
  ""content"": ""Let us handle the complex legal aspects of your case so that you have more time to focus on what is more important to you.""
},
{
  ""title"": ""Community Oriented"",
  ""content"": ""At MPS, we advocate for residents across Kane, McHenry and other areas across Chicagoland.""
},
{
  ""title"": ""Experience Matters"",
  ""content"": ""We have over five decades of courtroom experience, having represented clients on both sides of the courtroom.""
}
```",detailsData
What is the address of this firm?,"454 W Virginia St #100, Crystal Lake, IL 60014",address
What is the phone number of this firm?,(815) 356-8000,phoneNumber
What is the contact email of this firm?,null,email
"
        In an array, return in UPPERCASE the navigation items of this site. If the markdown contains several levels, only return the highest level. Format it like this. only focus on format, not content [
    ""Home"",
    ""Our Firm"",
    ""Our Team"",
    ""Practice Areas"",
    ""Publications & Seminars"",
    ""Contact"",
    ""Office""
  ],
  ","[
    ""HOME"",
    ""ABOUT US"",
    ""LEGAL SERVICES"",
    ""FAQ"",
    ""CONTACT US""
  ]",linkNames
What is the name of this company?,Melei Petsche Spencer,companyName
What is the subheading of this company?,Top McHenry & Kane County Attorneys,subHeading
"Near the top of the site, there will a paragraph description about this firm, return it. If it doesn't exist, write 2 paragraphs about this firm","```plaintext
There are no paragraph descriptions near the top of the site.
```",valueProp
What is the CTA close to the top of the site?,Contact Us,CTA
"Return 9 practice areas of this law firm, in an array.","[""Divorce"", ""Real Estate Law"", ""Estate & Probate Law"", ""Litigation"", ""Business Law"", ""Employment Law"", ""Family Law Attorney"", ""Foreclosure Attorney"", ""Woodstock, IL""]",topics
"
        ( Return, in an array of objects, 4 names of lawyers and their titles. For example [
            {
                name: ""Carmen 'Jack' Giordano, Esq."",
                position: ""Principal Attorney"",
            },
            {
                name: ""Stefanie Behler Soriano, Esq."",
                position: ""Associate Attorney"",
            }]
        
        ","[
    {
        name: ""Samuel S. Melei"",
        position: ""Principal Attorney""
    },
    {
        name: ""William P. Petsche"",
        position: ""Principal Attorney""
    },
    {
        name: ""Thomas B. Spencer IV"",
        position: ""Principal Attorney""
    },
    {
        name: ""Shaina S. Kalanges"",
        position: ""Associate Attorney""
    }
]",members
 When is the firm open?,null,openHours
"
          Return 3 testimonials from this site. They should be in an array of objects, including text, author, location. For example 
          
          ""```json
[
    {
        ""text"": ""Matt is my go to lawyer. He has been there for me and so many of my teammates over the years."",
        ""author"": ""Dwight Gooden"",
        ""location"": null
    },
    {
        ""text"": ""Matt is a strategic thinker and really knows how to analyze and formulate a litigation game plan."",
        ""author"": ""Phil Regan"",
        ""location"": null
    },
    {
        ""text"": ""I heard other players saying amazing things about Matt and now I know for myself that it's all true as he never quits until the catch is made!"",
        ""author"": ""Endy Chavez, NY Mets Player"",
        ""location"": null
    }
]
```""
        ","```json
[
    {
        ""text"": ""Robbie, Sam, Will, and Andrew all helped us out along the way as we were closing on our home! Andrew walked us through every document we signed at closing and provided us with a thorough explanation of what we were signing. This was especially helpful as a first time homebuyer."",
        ""author"": ""Stephanie Pilat"",
        ""location"": null
    },
    {
        ""text"": ""Will was a great help with setting up my business properly. Make sure we are protected. I highly recommend!"",
        ""author"": ""Justin Synowiec"",
        ""location"": null
    },
    {
        ""text"": ""We initially had a consultation to discuss matters in relation to our business. After further rapport & the advice I was given, I knew going forward this was who I needed to hire to resolve some matters I had. If your looking a quality attorney. Look no further these are your people👍"",
        ""author"": ""Justin Hamilton"",
        ""location"": null
    }
]
```",testimonalData
